nombre;compañía;telefono;precio;duración (días);duración (noches);fechas salida;localidad salida;localidades;descripción
Mallorca-1;Halcón Viajes;91 218 21 28;190;3;2;Todos los lunes de Enero-Mayo y Octubre-Diciembre. Todos los días de Junio a Septiembre;Madrid;Mallorca;Hotel Be Live Punta Amer 4* en Media Pensión.
Menorca;Halcón Viajes;91 218 21 28;226;6;5;Todos los lunes de Enero-Mayo y Octubre-Diciembre. Todos los días de Junio a Septiembre;Madrid;Menorca;Hotel Platja Gran 3* sup en Alojamiento y Desayuno
Ibiza;Halcón Viajes;91 218 21 28;251;6;5;Todos los lunes de Enero-Mayo y Octubre-Diciembre. Todos los días de Junio a Septiembre;Madrid;Ibiza;Hotel Sol Pinet Playa 3* en Media Pensión. 
Mallorca-2;Halcón Viajes;91 218 21 28;297;6;5;Todos los lunes de Enero-Mayo y Octubre-Diciembre. Todos los días de Junio a Septiembre;Madrid;Mallorca;Hotel Be Live Punta Amer 4* en Media Pensión
Salvador de Bahia;Barceló Viajes;902 200 400;956;9;7;martes, jueves y sábados y domingos desde el 10 Enero al 30 Abril.;Madrid;Salvador de Bahía;incluye: Avión, hotel, traslados, asistencia de guía, tasas y seguro de viaje.
Cuba-Habana;Barceló Viajes;902 200 400;930;9;7;el 01 de Noviembre hasta el 30 de Abril. Operación diaria (excepto los viernes del 2 al 24 de noviembre y excepto los domingos del 2 al 30 de diciembre);Madrid;La Habana;El precio incluye: Avión, hotel, traslados, asistencia de guía, tasas, seguro de viaje y visado
Cuba-Varadero;Barceló Viajes;902 200 400;1150;9;7;desde el 01 de Diciembre hasta el 30 Abril. Operación diaria (excepto los domingos del 2 al 30 de diciembre);Madrid;Varadero;El precio incluye: Avión, hotel, traslados, asistencia de guía, tasas, seguro de viaje y visado
México-Cancún;Barceló Viajes;902 200 400;1278;9;7;domingos desde el 02 de diciembre al 28 de abril;Madrid;Cancún;El precio incluye: Avión, hotel, traslados, asistencia de guía, tasas y seguro de viaje
Turquía-Estambul;Barceló Viajes;902 200 400;559;5;4;15 de marzo, regreso el 19 de marzo;Valencia;Estambul;Avión, hotel, traslados, tasas y seguro de viaje.
Lo mejor de China;Travel China Guide;0 808 189 1339;1740;8;6;5, 12, 20 de marzo, 11, 18 de abril, 2, 16, 30 de Mayo, 6, 13, 27 Junio;Madrid;Beijing, Xian, Shanghai;Avión, hotel, traslados, tasas y seguro de viaje.
Nueva York;Viajes Transvia;963 747 013;1002;9;7;Todos los lunes de marzo, abril y mayo;Madrid;Nueva York;Vuelo, hotel y translados
Praga y Budapest;Viajes el corte inglés;902 30 40 20;1165;7;6;Todos los sábados de febrero a Junio;Barcelona;Praga, Budapest;Vuelo, hotel 3* en MP y translados
Grandes Atractivos de Dubai;Viajes Transa;963 747 013;1229;9;7;Todos los viernes de marzo, abril y mayo;Málaga;Dubai, Abu Dabi;Vuelo de linea regular. España- Dubái - España. Asistencia en aeropuertos y traslados a los hoteles de: Dubái. Hoteles: 7 noches de alojamiento en habitación doble.
Roma;Viajes Ecuador;902 100 211;220;3;2;Todos los viernes de Febrero a Junio;Barcelona;Roma;Vuelo, hotel 3* y translados
Florencia;Viajes Ecuador;902 100 211;290;3;2;Todos los viernes de Febrero a Junio;Barcelona;Florencia;Vuelo, hotel 3* y translados
Edimburgo;Viajes Ecuador;902 100 211;295;3;2;Todos los viernes de Febrero a Junio;Barcelona;Edimburgo;Vuelo, hotel 3* y translados
Descubre Egipto;LogiTravel;902 366 847;450;8;7;Todos los sábados de Febrero a Junio, y de Septiembre a Diciembre;Madrid y Barcelona;Luxor, Esna, Edfu, Kom Ombo, Aswan, El Cairo;Vuelos en linea regular con Egyptair (clase L), 04 noches crucero nilo en PC , 03 noches hotel El Cairo en AD, todos los traslados en vehiculo acondicionado, guía de habla hispana, seguro de viaje básico 
Capitales de Rusia;LogiTravel;902 366 847;1100;7;6;Todos los sábados de Febrero a Junio, y de Septiembre a Diciembre;Madrid y Barcelona;Moscú y San Petersburgo;Billete aéreo, vuelo regular (vía punto europeo), 6 noches de alojamiento en los hoteles previstos (o similares) en habitaciones dobles estándar con baño y/o ducha, Tren rápido Sapsan para el trayecto Moscú/San Petersburgo, Traslados aeropuerto/hotel/estación en las 2 ciudades, Visitas indicadas en el itinerario, Seguro de viaje.
